Level;Code;Code;Description;Self-explanatory texts in English;Self-explanatory texts in French;Self-explanatory texts in German
5;611699000080;6116.99;-- De las demás materias textiles;Gloves, mittens and mitts, of textile materials, knitted or crocheted (excl. of wool, fine animal hair, cotton or synthetic fibres, impregnated, coated or covered with plastics or rubber, and for babies);Gants, mitaines et moufles, en bonneterie, de matières textiles (autres que laine, poils fins, coton, fibres synthétiques ou imprégnés, enduits ou recouverts de matières plastiques ou de caoutchouc et sauf pour bébés);Fingerhandschuhe, Handschuhe ohne Fingerspitzen und Fausthandschuhe, aus Gewirken oder Gestricken aus Spinnstoffen (ausg. aus Wolle oder feinen Tierhaaren, Baumwolle oder synthetischen Chemiefasern, oder mit Kunststoff oder Kautschuk getränkt, bestrichen oder überzogen sowie für Kleinkinder)
3;611700000080;61.17;" Los demás complementos (accesorios) de vestir confeccionados, de punto; partes de prendas o de complementos (accesorios), de vestir, de punto";"Made-up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories, n.e.s.";"Autres accessoires confectionnés du vêtement, en bonneterie; parties de vêtements ou d'accessoires du vêtement, en bonneterie, n.d.a.";Bekleidungszubehör, konfektioniert, aus Gewirken oder Gestricken sowie Teile von Kleidung oder von Bekleidungszubehör, aus Gewirken oder Gestricken, a.n.g.
4;611710000080;6117.10;- Chales, pañuelos de cuello, bufandas, mantillas, velos y artículos similares;Shawls, scarves, mufflers, mantillas, veils and the like, knitted or crocheted;Châles, écharpes, foulards, cache-nez, cache-col, mantilles, voiles, voilettes et articles simil., en bonneterie;Schals, Umschlagtücher, Halstücher, Kragenschoner, Kopftücher, Schleier und ähnl. Waren, aus Gewirken oder Gestricken
4;611780000080;6117.80;- Los demás complementos (accesorios) de vestir;Ties, bow ties, cravats and other made-up clothing accessories, knitted or crocheted, n.e.s. (excl. shawls, scarves, mufflers, mantillas, veils and the like);Cravates, noeuds papillons, foulards cravates et autres accessoires confectionnés du vêtement, en bonneterie, n.d.a. (sauf châles, écharpes, foulards, cache-nez, cache-col, mantilles, voiles, voilettes et articles simil.);Krawatten, Schleifen [z.B. Querbinder], Krawattenschals und anderes Bekleidungszubehör, konfektioniert, aus Gewirken oder Gestricken, a.n.g. (ausg. Schals, Umschlagtücher, Halstücher, Kragenschoner, Kopftücher, Schleier und ähnl. Waren)
4;611790000080;6117.90;- Partes;Parts of garments or clothing accessories, knitted or crocheted, n.e.s.;Parties de vêtements ou d'accessoires du vêtement, en bonneterie, n.d.a.;Teile von Kleidung oder von Bekleidungszubehör, aus Gewirken oder Gestricken, a.n.g.
2;620021000090;62; CAPÍTULO 62 - PRENDAS Y COMPLEMENTOS (ACCESORIOS), DE VESTIR, EXCEPTO LOS DE PUNTO;ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED;VÊTEMENTS ET ACCESSOIRES DU VÊTEMENT, AUTRES QU'EN BONNETERIE;KLEIDUNG UND BEKLEIDUNGSZUBEHÖR, AUSGENOMMEN AUS GEWIRKEN ODER GESTRICKEN
3;620100000080;62.01; Abrigos, chaquetones, capas, anoraks, cazadoras y artículos similares, para hombres o niños (excepto los artículos de la partida 6203);Men's or boys' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles (excl. knitted or crocheted, suits, ensembles, jackets, blazers and trousers);Manteaux, cabans, capes, anoraks, blousons et articles simil., pour hommes ou garçonnets (à l'excl. des articles en bonneterie et des costumes ou complets, ensembles, vestes, vestons, blazers et pantalons);"Mäntel ""einschl. Kurzmäntel"", Umhänge, Anoraks, Windjacken, Blousons und ähnl. Waren, für Männer oder Knaben (ausg. Wirk- und Strickwaren sowie Anzüge, Kombinationen, Jacken [Sakkos, Blazer] und Hosen)"
4;620111000010;;- Abrigos, impermeables, chaquetones, capas y artículos similares;;;
5;620111000080;6201.11;-- De lana o pelo fino;Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of wool or fine animal hair (excl. knitted or crocheted);Manteaux, imperméables, cabans, capes et articles simil., de laine ou poils fins, pour hommes ou garçonnets (à l'excl. des articles en bonneterie);"Mäntel ""einschl. Kurzmäntel"", Umhänge und ähnl. Waren, aus Wolle oder feinen Tierhaaren, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken)"
5;620112000080;6201.12;-- De algodón;Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton (excl. knitted or crocheted);Manteaux, imperméables, cabans, capes et articles simil., de coton, pour hommes ou garçonnets (à l'excl. des articles en bonneterie);"Mäntel ""einschl. Kurzmäntel"", Umhänge und ähnl. Waren, aus Baumwolle, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken)"
5;620113000080;6201.13;-- De fibras sintéticas o artificiales;Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made fibres (excl. knitted or crocheted);Manteaux, imperméables, cabans, capes et articles simil., de fibres synthétiques ou artificielles, pour hommes ou garçonnets (à l'excl. des articles en bonneterie);"Mäntel ""einschl. Kurzmäntel"", Umhänge und ähnl. Waren, aus Chemiefasern, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken)"
5;620119000080;6201.19;-- De las demás materias textiles;Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of textile materials (excl. of wool or fine animal hair, cotton or man-made fibres, knitted or crocheted);Manteaux, imperméables, cabans, capes et articles simil., de matières textiles, pour hommes ou garçonnets (autres que laine, poils fins, coton, fibres synthétiques ou artificielles et sauf articles en bonneterie);"Mäntel ""einschl. Kurzmäntel"", Umhänge und ähnl. Waren, aus Spinnstoffen, für Männer oder Knaben (ausg. aus Wolle oder feinen Tierhaaren, Baumwolle oder Chemiefasern sowie aus Gewirken oder Gestricken)"
4;620191000010;;- Los demás;;;
5;620191000080;6201.91;-- De lana o pelo fino;Men's or boys' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, of wool or fine animal hair (excl. knitted or crocheted, suits, ensembles, jackets, blazers and trousers);Anoraks, blousons et articles simil., de laine ou poils fins, pour hommes ou garçonnets (à l'excl. des articles en bonneterie et des costumes ou complets, ensembles, vestes, vestons, blazers et pantalons);Anoraks, Windjacken, Blousons und ähnl. Waren, aus Wolle oder feinen Tierhaaren, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Anzüge, Kombinationen, Jacken [Sakkos, Blazer] und Hosen)
5;620192000080;6201.92;-- De algodón;Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of cotton (not knitted or crocheted and excl. suits, ensembles, jackets, blazers, trousers and tops of ski suits);Anoraks, blousons et articles simil. de coton, pour hommes ou garçonnets (à l'excl. des articles en bonneterie et des costumes ou complets, ensembles, vestes, vestons, blazers, pantalons et parties supérieures des ensembles de ski);Anoraks, Windjacken, Blousons und ähnl. Waren, aus Baumwolle, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Anzüge, Kombinationen, Jacken [Sakkos, Blazer], Hosen und Oberteile von Skianzügen)
5;620193000080;6201.93;-- De fibras sintéticas o artificiales;Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres (not knitted or crocheted and excl. suits, ensembles, jackets, blazers, trousers and tops of ski suits);Anoraks, blousons et articles simil., de fibres synthétiques ou artificielles, pour hommes ou garçonnets (à l'excl. des articles en bonneterie et des costumes ou complets, ensembles, vestes, vestons, blazers, pantalons et parties supérieures des ensembles de ski);Anoraks, Windjacken, Blousons und ähnl. Waren, aus Chemiefasern, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Anzüge, Kombinationen, Jacken [Sakkos, Blazer], Hosen und Oberteile von Skianzügen)
5;620199000080;6201.99;-- De las demás materias textiles;Men's or boys' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles of textile materials (excl. of wool, fine animal hair, cotton or man-made fibres, knitted or crocheted, suits, ensembles, jackets, blazers and trousers);Anoraks, blousons et articles simil., de matières textiles, pour hommes ou garçonnets (autres que laine, poils fins, coton, fibres synthétiques ou artificielles et à l'excl. des articles en bonneterie et des costumes ou complets, ensembles, vestes, vestons, blazers et pantalons);Anoraks, Windjacken, Blousons und ähnl. Waren, aus Spinnstoffen, für Männer oder Knaben (ausg. aus Wolle oder feinen Tierhaaren, Baumwolle, Chemiefasern oder aus Gewirken oder Gestricken sowie Anzüge, Kombinationen, Jacken [Sakkos, Blazer] und Hosen)
3;620200000080;62.02; Abrigos, chaquetones, capas, anoraks, cazadoras y artículos similares, para mujeres o niñas (excepto los artículos de la partida 6204);Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles (excl. knitted or crocheted, suits, ensembles, jackets, blazers and trousers);Manteaux, imperméables, cabans, capes, anoraks, blousons et articles simil., pour femmes ou fillettes (à l'excl. des articles en bonneterie et des costumes tailleurs, ensembles, vestes, blazers et pantalons);"Mäntel ""einschl. Kurzmäntel"", Umhänge, Anoraks, Windjacken, Blousons und ähnl. Waren, für Frauen oder Mädchen (ausg. Wirk- und Strickwaren sowie Anzüge, Kombinationen, Jacken [Sakkos, Blazer] und Hosen)"
4;620211000010;;- Abrigos, impermeables, chaquetones, capas y artículos similares;;;
5;620211000080;6202.11;-- De lana o pelo fino;Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of wool or fine animal hair (excl. knitted or crocheted);Manteaux, imperméables, cabans, capes et articles simil., de laine ou poils fins, pour femmes ou fillettes (à l'excl. des articles en bonneterie);"Mäntel ""einschl. Kurzmäntel"", Umhänge und ähnl. Waren, aus Wolle oder feinen Tierhaaren, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken)"
5;620212000080;6202.12;-- De algodón;Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton (excl. knitted or crocheted);Manteaux, imperméables, cabans, capes et articles simil., de coton, pour femmes ou fillettes (à l'excl. des articles en bonneterie);"Mäntel ""einschl. Kurzmäntel"", Umhänge und ähnl. Waren, aus Baumwolle, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken)"
5;620213000080;6202.13;-- De fibras sintéticas o artificiales;Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made fibres (excl. knitted or crocheted);Manteaux, imperméables, cabans, capes et articles simil., de fibres synthétiques ou artificielles, pour femmes ou fillettes (à l'excl. des articles en bonneterie);"Mäntel ""einschl. Kurzmäntel"", Umhänge und ähnl. Waren, aus Chemiefasern, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken)"
5;620219000080;6202.19;-- De las demás materias textiles;Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of textile materials (excl. of wool or fine animal hair, cotton or man-made fibres, knitted or crocheted);Manteaux, imperméables, cabans, capes et articles simil., de matières textiles, pour femmes ou fillettes (autres que laine, poils fins, coton, fibres synthétiques ou artificielles et à l'excl. des articles en bonneterie);"Mäntel ""einschl. Kurzmäntel"", Umhänge und ähnl. Waren, aus Spinnstoffen, für Frauen oder Mädchen (ausg. aus Wolle oder feinen Tierhaaren, Baumwolle oder Chemiefasern sowie aus Gewirken oder Gestricken)"
4;620291000010;;- Los demás;;;
5;620291000080;6202.91;-- De lana o pelo fino;Women's or girls' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, of wool or fine animal hair (excl. knitted or crocheted, suits, ensembles, jackets, blazers and trousers);Anoraks, blousons et articles simil., de laine ou poils fins, pour femmes ou fillettes (à l'excl. des articles en bonneterie et des costumes tailleurs, ensembles, vestes, blazers et pantalons);Anoraks, Windjacken, Blousons und ähnl. Waren, aus Wolle oder feinen Tierhaaren, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Anzüge, Kombinationen, Jacken [Sakkos, Blazer] und Hosen)
5;620292000080;6202.92;-- De algodón;Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of cotton (not knitted or crocheted and excl. suits, ensembles, jackets, blazers, trousers and tops of ski suits);Anoraks, blousons et articles simil., de coton, pour femmes ou fillettes (à l'excl. des articles en bonneterie et des costumes tailleurs, ensembles, vestes, blazers, pantalons et parties supérieures des ensembles de ski);Anoraks, Windjacken, Blousons und ähnl. Waren, aus Baumwolle, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Anzüge, Kombinationen, Jacken [Sakkos, Blazer], Hosen und Oberteile von Skianzügen)
5;620293000080;6202.93;-- De fibras sintéticas o artificiales;Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres (not knitted or crocheted and excl. suits, ensembles, jackets, blazers, trousers and tops of ski suits);Anoraks, blousons et articles simil., de fibres synthétiques ou artificielles, pour femmes ou fillettes (à l'excl. des articles en bonneterie et des costumes tailleurs, ensembles, vestes, blazers, pantalons et parties supérieures des ensembles de ski);Anoraks, Windjacken, Blousons und ähnl. Waren, aus Chemiefasern, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Anzüge, Kombinationen, Jacken [Sakkos, Blazer], Hosen und Oberteile von Skianzügen)
5;620299000080;6202.99;-- De las demás materias textiles;Women's or girls' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, of textile materials (excl. of wool, fine animal hair, cotton or man-made fibres, knitted or crocheted, suits, ensembles, jackets, blazers and trousers);Anoraks, blousons et articles simil., de matières textiles, pour femmes ou fillettes (autres que laine, poils fins, coton, fibres synthétiques ou artificielles et à l'excl. des articles en bonneterie et des costumes tailleurs, ensembles, vestes, blazers et pantalons);Anoraks, Windjacken, Blousons und ähnl. Waren, aus Spinnstoffen, für Frauen oder Mädchen (ausg. aus Wolle oder feinen Tierhaaren, Baumwolle, Chemiefasern oder aus Gewirken oder Gestricken sowie Anzüge, Kombinationen, Jacken [Sakkos, Blazer] und Hosen)
3;620300000080;62.03; Trajes (ambos o ternos), conjuntos, chaquetas (sacos), pantalones largos, pantalones con peto, pantalones cortos (calzones) y shorts (excepto de baño), para hombres o niños;Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (excl. knitted or crocheted, wind-jackets and similar articles, separate waistcoats, tracksuits, ski suits and swimwear);Costumes ou complets, ensembles, vestons, pantalons, y.c. knickers et pantalons simil., salopettes à bretelles, culottes et shorts, pour hommes ou garçonnets (autres qu'en bonneterie et sauf anoraks et articles simil., gilets dénommés ailleurs, survêtements de sport 'trainings', combinaisons et ensembles de ski et maillots, culottes et slips de bain);"Anzüge, Kombinationen, Jacken, lange Hosen ""einschl. Kniebundhosen und ähnl. Hosen"", Latzhosen und kurze Hosen, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Windjacken und ähnl. Jacken, Westen [gesondert gestellt], Trainingsanzüge, Skianzüge und Badebekleidung)"
4;620311000010;;- Trajes (ambos o ternos);;;
5;620311000080;6203.11;-- De lana o pelo fino;Men's or boys' suits of wool or fine animal hair (excl. knitted or crocheted, tracksuits, ski suits and swimwear);Costumes ou complets, de laine ou poils fins, pour hommes ou garçonnets (autres qu'en bonneterie et sauf survêtements de sport 'trainings', combinaisons et ensembles de ski, maillots, culottes et slips de bain);Anzüge aus Wolle oder feinen Tierhaaren, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Trainingsanzüge, Skianzüge und Badebekleidung)
5;620312000080;6203.12;-- De fibras sintéticas;Men's or boys' suits of synthetic fibres (excl. knitted or crocheted, tracksuits, ski suits and swimwear);Costumes ou complets, de fibres synthétiques, pour hommes ou garçonnets (autres qu'en bonneterie et sauf survêtements de sport 'trainings', combinaisons et ensembles de ski, maillots, culottes et slips de bain);Anzüge aus synthetischen Chemiefasern, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Trainingsanzüge, Skianzüge und Badebekleidung)
5;620319000080;6203.19;-- De las demás materias textiles;Men's or boys' suits of textile materials (excl. of wool, fine animal hair or synthetic fibres, knitted or crocheted, tracksuits, ski suits and swimwear);Costumes ou complets, de matières textiles, pour hommes ou garçonnets (autres que laine, poils fins ou fibres synthétiques, autres qu'en bonneterie et sauf survêtements de sport 'trainings', combinaisons et ensembles de ski, maillots, culottes et slips de bain);Anzüge aus Spinnstoffen, für Männer oder Knaben (ausg. aus Wolle oder feinen Tierhaaren, synthetischen Chemiefasern oder aus Gewirken oder Gestricken sowie Trainingsanzüge, Skianzüge und Badebekleidung)
4;620322000010;;- Conjuntos;;;
5;620322000080;6203.22;-- De algodón;Men's or boys' ensembles of cotton (excl. knitted or crocheted, ski ensembles and swimwear);Ensembles de coton, pour hommes ou garçonnets (autres qu'en bonneterie et sauf ensembles de ski et maillots, culottes et slips de bain);Kombinationen aus Baumwolle, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Skikombinationen und Badebekleidung)
5;620323000080;6203.23;-- De fibras sintéticas;Men's or boys' ensembles of synthetic fibres (excl. knitted or crocheted, ski ensembles and swimwear);Ensembles de fibres synthétiques, pour hommes ou garçonnets (autres qu'en bonneterie et sauf ensembles de ski et maillots, culottes et slips de bain);Kombinationen aus synthetischen Chemiefasern, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Skikombinationen und Badebekleidung)
5;620329000080;6203.29;-- De las demás materias textiles;Men's or boys' ensembles of textile materials (excl. of cotton or synthetic fibres, knitted or crocheted, ski ensembles and swimwear);Ensembles de matières textiles, pour hommes ou garçonnets (autres que de coton ou fibres synthétiques, autres qu'en bonneterie et sauf ensembles de ski et maillots, culottes et slips de bain);Kombinationen aus Spinnstoffen, für Männer oder Knaben (ausg. aus Baumwolle, synthetischen Chemiefasern oder aus Gewirken oder Gestricken sowie Skikombinationen und Badebekleidung)
4;620331000010;;- Chaquetas (sacos);;;
5;620331000080;6203.31;-- De lana o pelo fino;Men's or boys' jackets and blazers of wool or fine animal hair (excl. knitted or crocheted, and wind-jackets and similar articles);Vestons de laine ou poils fins, pour hommes ou garçonnets (autres qu'en bonneterie et sauf anoraks et articles simil.);Jacken aus Wolle oder feinen Tierhaaren, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Windjacken und ähnl. Waren)
5;620332000080;6203.32;-- De algodón;Men's or boys' jackets and blazers of cotton (excl. knitted or crocheted, and wind-jackets and similar articles);Vestons de coton, pour hommes ou garçonnets (autres qu'en bonneterie et sauf anoraks et articles simil.);Jacken aus Baumwolle, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Windjacken und ähnl. Waren)
5;620333000080;6203.33;-- De fibras sintéticas;Men's or boys' jackets and blazers of synthetic fibres (excl. knitted or crocheted, and wind-jackets and similar articles);Vestons de fibres synthétiques, pour hommes ou garçonnets (autres qu'en bonneterie et sauf vêtements de travail, anoraks et articles simil.);Jacken aus synthetischen Chemiefasern, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken, Windjacken und ähnl. Waren)
5;620339000080;6203.39;-- De las demás materias textiles;Men's or boys' jackets and blazers of textile materials (excl. of wool, fine animal hair, cotton or synthetic fibres, knitted or crocheted, and wind-jackets and similar articles);Vestons de matières textiles, pour hommes ou garçonnets (autres que laine, poils fins, coton ou fibres synthétiques, autres qu'en bonneterie et sauf anoraks et articles simil.);Jacken aus Spinnstoffen, für Männer oder Knaben (ausg. aus Wolle oder feinen Tierhaaren, Baumwolle, synthetischen Chemiefasern oder aus Gewirken oder Gestricken sowie Windjacken und ähnl. Waren)
4;620341000010;;- Pantalones largos, pantalones con peto, pantalones cortos (calzones) y shorts;;;
5;620341000080;6203.41;-- De lana o pelo fino;Men's or boys' trousers, bib and brace overalls, breeches and shorts, of wool or fine animal hair (excl. knitted or crocheted, underpants and swimwear);Pantalons, y.c. knickers et pantalons simil., salopettes à bretelles, culottes et shorts, de laine ou poils fins, pour hommes ou garçonnets (autres qu'en bonneterie et sauf slips et caleçons et maillots, culottes et slips de bain);"Hosen, lang ""einschl. Kniebundhosen und ähnl. Hosen"", Latzhosen und kurze Hosen, aus Wolle oder feinen Tierhaaren, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Unterhosen und Badehosen)"
5;620342000080;6203.42;-- De algodón;Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excl. knitted or crocheted, underpants and swimwear);Pantalons, y.c. knickers et pantalons simil., salopettes à bretelles, culottes et shorts, de coton, pour hommes ou garçonnets (autres qu'en bonneterie et sauf slips et caleçons ainsi que maillots, culottes et slips de bain);"Hosen, lang ""einschl. Kniebundhosen und ähnl. Hosen"", Latzhosen und kurze Hosen, aus Baumwolle, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Unterhosen und Badehosen)"
5;620343000080;6203.43;-- De fibras sintéticas;Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excl. knitted or crocheted, underpants and swimwear);Pantalons, y.c. knickers et pantalons simil., salopettes à bretelles, culottes et shorts, de fibres synthétiques, pour hommes ou garçonnets (autres qu'en bonneterie et sauf slips et caleçons et maillots, culottes et slips de bain);"Hosen, lang ""einschl. Kniebundhosen und ähnl. Hosen"", Latzhosen und kurze Hosen, aus synthetischen Chemiefasern, für Männer oder Knaben (ausg. aus Gewirken oder Gestricken sowie Unterhosen und Badehosen)"
5;620349000080;6203.49;-- De las demás materias textiles;Men's or boys' trousers, bib and brace overalls, breeches and shorts of textile materials (excl. of wool, fine animal hair, cotton or synthetic fibres, knitted or crocheted, underpants and swimwear);Pantalons, y.c. knickers et pantalons simil., salopettes à bretelles, culottes et shorts, de matières textiles, pour hommes ou garçonnets (autres que laine, poils fins, coton ou fibres synthétiques, autres qu'en bonneterie et sauf slips et caleçons et maillots, culottes et slips de bain);"Hosen, lang ""einschl. Kniebundhosen und ähnl. Hosen"", Latzhosen und kurze Hosen, aus Spinnstoffen, für Männer oder Knaben (ausg. aus Wolle oder feinen Tierhaaren, Baumwolle, synthetischen Chemiefasern oder aus Gewirken oder Gestricken sowie Unterhosen und Badehosen)"
3;620400000080;62.04; Trajes sastre, conjuntos, chaquetas (sacos), vestidos, faldas, faldas pantalón, pantalones largos, pantalones con peto, pantalones cortos (calzones) y shorts (excepto de baño), para mujeres o niñas;Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (excl. knitted or crocheted, wind-jackets and similar articles, slips, petticoats and panties, tracksuits, ski suits and swimwear);Costumes tailleurs, ensembles, vestes, robes, jupes, jupes-culottes, pantalons, y.c. knickers et pantalons simil., salopettes à bretelles, culottes et shorts, pour femmes ou fillettes (autres qu'en bonneterie et sauf anoraks et articles simil., combinaisons, fonds de robes, jupons, slips et culottes, survêtements de sport 'trainings', combinaisons et ensembles de ski, maillots, culottes et slips de bain);"Kostüme, Kombinationen, Jacken, Kleider, Röcke, Hosenröcke, lange Hosen ""einschl. Kniebundhosen und ähnl. Hosen"", Latzhosen und kurze Hosen, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Windjacken und ähnl. Waren, Unterkleider, Unterröcke, Unterhosen, Trainingsanzüge, Skianzüge und Badebekleidung)"
4;620411000010;;- Trajes sastre;;;
5;620411000080;6204.11;-- De lana o pelo fino;Women's or girls' suits of wool or fine animal hair (excl. knitted or crocheted, ski overalls and swimwear);Costumes tailleurs, de laine ou poils fins, pour femmes ou fillettes (autres qu'en bonneterie et sauf combinaisons de ski et vêtements de bain);Kostüme aus Wolle oder feinen Tierhaaren, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Ski-Overalls und Badebekleidung)
5;620412000080;6204.12;-- De algodón;Women's or girls' suits of cotton (excl. knitted or crocheted, ski overalls and swimwear);Costumes tailleurs, de coton, pour femmes ou fillettes (autres qu'en bonneterie et sauf combinaisons de ski et vêtements de bain);Kostüme aus Baumwolle, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Ski-Overalls und Badebekleidung)
5;620413000080;6204.13;-- De fibras sintéticas;Women's or girls' suits of synthetic fibres (excl. knitted or crocheted, ski overalls and swimwear);Costumes tailleurs, de fibres synthétiques, pour femmes ou fillettes (autres qu'en bonneterie et sauf combinaisons de ski et vêtements de bain);Kostüme aus synthetischen Chemiefasern, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Ski-Overalls und Badebekleidung)
5;620419000080;6204.19;-- De las demás materias textiles;Women's or girls' suits of textile materials (excl. of wool, fine animal hair, cotton or synthetic fibres, knitted or crocheted, ski overalls and swimwear);Costumes tailleurs, de matières textiles, pour femmes ou fillettes (autres que laine, poils fins, coton ou fibres synthétiques, autres qu'en bonneterie et sauf combinaisons de ski et vêtements de bain);Kostüme aus Spinnstoffen, für Frauen oder Mädchen (ausg. aus Wolle oder feinen Tierhaaren, Baumwolle synthetischen Chemiefasern oder aus Gewirken oder Gestricken sowie Ski-Overalls und Badebekleidung)
4;620421000010;;- Conjuntos;;;
5;620421000080;6204.21;-- De lana o pelo fino;Women's or girls' ensembles of wool or fine animal hair (excl. knitted or crocheted, ski overalls and swimwear);Ensembles de laine ou poils fins, pour femmes ou fillettes (autres qu'en bonneterie et sauf ensembles de ski et vêtements de bain);Kombinationen aus Wolle oder feinen Tierhaaren, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Skikombinationen und Badebekleidung)
5;620422000080;6204.22;-- De algodón;Women's or girls' ensembles of cotton (excl. knitted or crocheted, ski overalls and swimwear);Ensembles de coton, pour femmes ou fillettes (autres qu'en bonneterie et sauf ensembles de ski et vêtements de bain);Kombinationen aus Baumwolle, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Skikombinationen und Badebekleidung)
5;620423000080;6204.23;-- De fibras sintéticas;Women's or girls' ensembles of synthetic fibres (excl. knitted or crocheted, ski overalls and swimwear);Ensembles de fibres synthétiques, pour femmes ou fillettes (autres qu'en bonneterie et sauf ensembles de ski et vêtements de bain);Kombinationen aus synthetischen Chemiefasern, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Skikombinationen und Badebekleidung)
5;620429000080;6204.29;-- De las demás materias textiles;Women's or girls' ensembles of textile materials (excl. of wool, fine animal hair, cotton or synthetic fibres, knitted or crocheted, ski overalls and swimwear);Ensembles de matières textiles, pour femmes ou fillettes (autres que laine, poils fins, coton ou fibres synthétiques, autres qu'en bonneterie et sauf, ensembles de ski et vêtements de bain);Kombinationen aus Spinnstoffen, für Frauen oder Mädchen (ausg. aus Wolle oder feinen Tierhaaren, Baumwolle, synthetischen Chemiefasern oder aus Gewirken oder Gestricken sowie Skikombinationen und Badebekleidung)
4;620431000010;;- Chaquetas (sacos);;;
5;620431000080;6204.31;-- De lana o pelo fino;Women's or girls' jackets and blazers of wool or fine animal hair (excl. knitted or crocheted, wind-jackets and similar articles);Vestes de laine ou poils fins, pour femmes ou fillettes (autres qu'en bonneterie et sauf anoraks et articles simil.);Jacken aus Wolle oder feinen Tierhaaren, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Windjacken und ähnl. Waren)
5;620432000080;6204.32;-- De algodón;Women's or girls' jackets and blazers of cotton (excl. knitted or crocheted, wind-jackets and similar articles);Vestes de coton, pour femmes ou fillettes (autres qu'en bonneterie et sauf anoraks et articles simil.);Jacken aus Baumwolle, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Windjacken und ähnl. Waren)
5;620433000080;6204.33;-- De fibras sintéticas;Women's or girls' jackets and blazers of synthetic fibres (excl. knitted or crocheted, wind-jackets and similar articles);Vestes de fibres synthétiques, pour femmes ou fillettes (autres qu'en bonneterie et sauf anoraks et articles simil.);Jacken aus synthetischen Chemiefasern, für Frauen oder Mädchen (ausg. aus Gewirken oder Gestricken sowie Windjacken und ähnl. Waren)
